id,modele_machine,annee_fabrication,fiabilite_modele,age_machine_ans,phase_vie,indice_usure,heures_par_jour,temps_total_fonctionnement_h,mode_fonctionnement,cadence_moyenne_unit_h,taux_utilisation_pct,charge_machine,type_maintenance,frequence_maintenance,nombre_maintenances,date_derniere_maintenance,jours_depuis_maintenance,intervalle_entre_maintenances_j,nombre_total_pannes,frequence_pannes_par_an,duree_moyenne_panne_h,nombre_interventions_techniques,nombre_pannes_repetees,type_panne_recurrente,intervalle_entre_pannes_j,cause_identifiee,panne
1797,ROBOT-M3,2021,Elevée,2,Nouvelle,4.12,7.2,5283,Continu,96.2,81.9,Sous-charge,Préventive,Trimestrielle,2.0,2023-12-22,10.0,105.0,0,0.0,,2,0,Mécanique,304,Non,0
1798,PRESS-X5,2016,Elevée,7,Normale,27.39,15.5,39461,Continu,57.7,89.6,Sous-charge,Mixte,Mensuelle,15.0,2023-10-24,70.0,61.0,5,0.71,0.5,10,2,Mécanique,207,Oui,0
1799,CNC-2000,2015,Elevée,8,Normale,25.24,,36634,Intermittent,96.3,56.9,Normale,Préventive,Trimestrielle,9.0,2023-11-16,47.0,92.0,4,0.5,1.42,6,4,Électrique,153,Oui,0
1800,DRILL-Z6,2004,Elevée,19,,65.07,13.9,95953,Continu,76.8,86.0,Sous-charge,Mixte,Annuelle,31.0,2023-12-26,6.0,112.0,14,0.74,7.31,16,14,Thermique,212,Non,0
1801,COMP-T2,2011,Moyenne,12,Normale,38.97,14.4,62844,Intermittent,69.6,70.9,Normale,Corrective,Trimestrielle,23.0,2023-10-27,67.0,132.0,13,1.08,6.01,16,13,Électrique,132,,0
1802,CNC-2000,1999,Faible,24,Ancienne,75.38,13.7,119785,Continu,92.3,82.9,Normale,Corrective,Mensuelle,36.0,2023-10-20,74.0,,19,0.79,1.31,29,17,Mécanique,206,Oui,0
1803,PRESS-X5,2012,,11,Normale,,9.6,38402,Intermittent,57.7,79.1,Normale,Préventive,Trimestrielle,20.0,2023-08-08,147.0,86.0,14,1.27,3.39,16,12,Mécanique,201,Non,0
1804,DRILL-Z6,2011,Faible,12,Normale,43.44,11.1,48975,Continu,94.1,68.1,Normale,Mixte,Mensuelle,23.0,2023-08-10,,51.0,9,0.75,-5.0,12,8,Électrique,136,Non,0
1805,LATHE-9,1998,Moyenne,25,Ancienne,84.14,7.6,69779,Intermittent,77.6,93.2,Normale,Corrective,Mensuelle,38.0,2023-12-25,7.0,66.0,19,,5.58,20,16,Électrique,231,Oui,1
1806,CNC-2000,2016,Moyenne,7,Normale,29.94,11.1,28289,Continu,78.5,84.1,Surcharge,Préventive,Trimestrielle,9.0,2023-09-13,111.0,113.0,9,1.29,0.61,10,7,Mécanique,80,Oui,0
1807,DRILL-Z6,2001,Elevée,22,Ancienne,74.82,13.0,104284,Intermittent,46.3,80.0,Normale,Corrective,Mensuelle,36.0,2023-12-01,,69.0,16,0.73,2.37,21,15,Hydraulique,218,Oui,0
1808,CONV-3A,2019,Elevée,4,Normale,10.81,13.8,19813,Continu,93.5,100.0,Normale,Préventive,Mensuelle,6.0,2023-12-16,16.0,96.0,2,0.5,1.16,6,0,Thermique,183,Oui,0
1809,ROBOT-M3,1999,Faible,24,Ancienne,86.63,13.2,114891,Intermittent,83.7,63.3,Surcharge,Corrective,Mensuelle,31.0,2023-04-12,264.0,48.0,17,0.71,0.5,21,16,Mécanique,151,Oui,1
1810,COMP-T2,2002,Faible,21,Ancienne,65.79,6.7,51304,Intermittent,73.0,75.3,Surcharge,,Mensuelle,30.0,2023-09-30,94.0,117.0,19,0.9,7.02,23,18,Électrique,136,,0
1811,PUMP-V7,2002,Moyenne,21,Ancienne,78.03,10.3,78984,Intermittent,66.1,81.7,Sous-charge,Préventive,Hebdomadaire,35.0,2023-11-28,34.0,66.0,24,1.14,0.5,26,22,Hydraulique,111,Oui,0
1812,CONV-3A,2005,Elevée,18,Ancienne,60.99,10.0,65865,Continu,91.7,62.2,Surcharge,Mixte,Mensuelle,32.0,2023-07-21,165.0,127.0,15,0.83,4.16,15,12,Aucune,232,Oui,0
1813,CNC-2000,2003,Moyenne,20,Ancienne,74.95,8.1,58373,Continu,85.2,67.0,Normale,Corrective,Trimestrielle,26.0,2023-12-20,12.0,90.0,17,0.85,0.5,19,14,Thermique,256,Non,0
1814,WELDR-E4,2013,Elevée,10,Normale,41.44,9.5,34644,Intermittent,80.1,87.0,Normale,Préventive,Trimestrielle,19.0,2023-12-06,,114.0,9,0.9,1.96,13,5,Électrique,293,Non,0
1815,DRILL-Z6,2013,Elevée,10,Normale,38.2,12.0,43743,Continu,65.2,69.0,Normale,Corrective,Mensuelle,14.0,2023-06-20,195.0,136.0,11,1.1,,13,11,Aucune,136,Oui,0
1816,LATHE-9,2003,Faible,20,Ancienne,65.94,16.2,118589,Intermittent,84.5,85.5,Normale,Préventive,Hebdomadaire,37.0,2023-09-11,112.0,64.0,12,0.6,2.95,13,10,Aucune,181,Non,0
1817,LATHE-9,2017,Moyenne,6,Normale,14.75,9.1,19637,Intermittent,83.6,67.4,Normale,Corrective,Trimestrielle,12.0,2023-11-26,36.0,90.0,4,0.67,1.71,6,4,Électrique,355,Oui,0
1818,WELDR-E4,2014,Moyenne,9,Normale,24.33,8.6,28818,Continu,99.7,99.2,Normale,Préventive,Trimestrielle,12.0,2023-08-17,138.0,96.0,6,0.67,1.83,8,4,Électrique,207,Non,0
1819,CNC-2000,2011,Faible,12,Normale,47.51,10.2,44689,Continu,62.0,46.9,Normale,Préventive,Annuelle,19.0,2023-12-22,10.0,58.0,10,0.83,0.59,12,9,Thermique,226,Oui,0
1820,LATHE-9,2010,Moyenne,13,Normale,44.83,13.0,61500,Continu,69.3,87.1,Sous-charge,Préventive,Trimestrielle,26.0,2023-10-16,77.0,48.0,11,0.85,1.77,17,9,Électrique,199,Non,0
1821,MOTOR-K1,2001,Moyenne,22,Ancienne,74.0,15.7,125865,Continu,109.2,78.0,Surcharge,Préventive,Trimestrielle,28.0,2023-11-27,36.0,99.0,18,0.82,4.67,21,15,Thermique,168,Oui,0
1822,LATHE-9,2020,Elevée,3,Nouvelle,9.84,11.7,13155,Intermittent,82.9,,Normale,Corrective,Annuelle,5.0,2023-12-13,20.0,91.0,1,0.33,0.5,4,0,Hydraulique,216,,0
1823,COMP-T2,2016,Elevée,7,Normale,29.9,7.7,19320,Continu,83.8,,Normale,,Mensuelle,12.0,2023-07-25,161.0,55.0,1,0.14,2.62,4,0,Mécanique,304,Oui,0
1824,MOTOR-K1,1997,,26,Ancienne,94.89,8.3,78475,Continu,94.5,51.9,Normale,Préventive,Trimestrielle,35.0,2023-10-20,74.0,14.0,20,0.77,1.02,21,18,Thermique,157,Oui,1
1825,PRESS-X5,2015,Elevée,8,Normale,30.19,12.6,36666,Intermittent,107.2,79.2,Surcharge,Corrective,Annuelle,10.0,2023-11-03,60.0,94.0,12,1.5,3.06,18,12,Mécanique,222,,0
1826,PRESS-X5,2013,Elevée,10,Normale,38.19,15.0,54691,Continu,62.6,67.8,Normale,Mixte,Trimestrielle,19.0,2023-10-07,87.0,60.0,9,0.9,8.38,11,7,Mécanique,231,Non,0
1827,DRILL-Z6,2002,Elevée,21,Ancienne,74.4,17.4,133875,Intermittent,112.7,51.6,Normale,Corrective,Annuelle,43.0,2023-08-24,131.0,111.0,20,0.95,0.5,24,18,Thermique,180,Oui,0
1828,MOTOR-K1,1999,Moyenne,24,Ancienne,85.51,8.5,74342,Continu,79.3,77.0,Sous-charge,Corrective,Annuelle,34.0,2023-06-03,,136.0,20,0.83,1.39,21,19,Électrique,120,Oui,1
1829,CONV-3A,2020,Moyenne,3,Nouvelle,11.61,12.4,13755,Continu,84.0,76.7,Normale,Préventive,Hebdomadaire,,2023-12-19,14.0,103.0,3,1.0,0.58,6,1,Mécanique,167,Oui,0
1830,DRILL-Z6,2020,Moyenne,3,Nouvelle,10.5,8.9,9479,Continu,80.9,100.0,Sous-charge,Préventive,Annuelle,6.0,2023-09-24,100.0,52.0,1,0.33,9.69,3,0,Mécanique,128,Oui,0
1831,CONV-3A,2000,Moyenne,23,Ancienne,84.27,9.3,77894,Continu,102.5,84.9,Normale,Mixte,Hebdomadaire,35.0,2023-07-03,183.0,104.0,19,0.83,2.62,26,15,Électrique,156,Oui,1
1832,COMP-T2,1996,Elevée,27,Ancienne,96.31,9.1,89029,Intermittent,94.4,46.4,Normale,,Mensuelle,34.0,2023-10-01,93.0,73.0,23,0.85,2.9,27,21,Électrique,153,,1
1833,ROBOT-M3,2018,Moyenne,5,Normale,13.1,11.0,20225,Continu,77.8,68.7,Normale,Préventive,Trimestrielle,8.0,2023-12-02,31.0,,6,1.2,0.5,9,5,Mécanique,180,Oui,0
1834,CNC-2000,2019,Faible,4,Normale,16.64,9.4,13777,Intermittent,63.1,88.3,Normale,Mixte,Hebdomadaire,8.0,2023-12-16,17.0,116.0,1,0.25,6.24,1,0,Électrique,209,Non,0
1835,MOTOR-K1,2013,Elevée,10,Normale,36.24,19.4,71196,Continu,76.4,55.5,Normale,Préventive,Mensuelle,11.0,2023-11-25,37.0,97.0,6,0.6,22.6,9,4,Aucune,230,Non,0
1836,WELDR-E4,2007,Moyenne,16,Ancienne,59.06,10.6,62138,Intermittent,59.9,65.7,Normale,Mixte,Mensuelle,24.0,2023-11-25,38.0,,5,0.31,10.68,6,1,Aucune,270,,0
1837,PUMP-V7,2000,Moyenne,23,Ancienne,79.98,15.0,125492,Continu,,75.0,Surcharge,,Trimestrielle,22.0,2023-07-25,161.0,107.0,16,0.7,0.84,18,12,Aucune,107,Oui,1
1838,CNC-2000,2000,Moyenne,23,Ancienne,84.56,10.0,84090,Intermittent,69.8,68.7,Normale,Préventive,Annuelle,32.0,2023-08-22,132.0,119.0,19,0.83,5.24,22,17,Électrique,181,Oui,1
1839,COMP-T2,1996,Elevée,27,Ancienne,94.19,18.7,183993,Continu,78.5,94.1,Normale,Préventive,Trimestrielle,35.0,2022-12-06,392.0,74.0,17,0.63,19.07,20,14,Électrique,220,Non,1
1840,MOTOR-K1,2020,Faible,3,Nouvelle,14.12,13.0,14379,Continu,97.6,77.2,Normale,,Trimestrielle,3.0,2023-12-08,24.0,162.0,1,,2.75,2,0,Mécanique,223,Oui,0
1841,PRESS-X5,2018,Moyenne,5,Normale,15.22,14.5,26357,Intermittent,92.1,75.4,Normale,Préventive,Trimestrielle,5.0,2023-09-09,115.0,93.0,1,0.2,1.93,2,0,Mécanique,184,Oui,0
1842,CNC-2000,1999,Faible,24,Ancienne,82.06,10.2,89831,Intermittent,,64.0,Sous-charge,Préventive,Annuelle,40.0,2023-11-03,59.0,67.0,18,0.75,0.5,18,17,Aucune,174,Oui,0
1843,CONV-3A,2005,Elevée,18,Ancienne,,14.9,98206,Intermittent,68.1,61.8,Normale,Préventive,Mensuelle,28.0,2023-06-17,198.0,40.0,12,0.67,1.12,16,9,Mécanique,174,Oui,0
1844,WELDR-E4,2005,Moyenne,18,Ancienne,61.34,13.0,85828,Continu,87.3,76.2,Normale,Corrective,Annuelle,26.0,2023-05-27,219.0,104.0,16,0.89,0.58,21,16,Électrique,194,Non,0
1845,CNC-2000,2018,Moyenne,5,Normale,28.53,10.9,19909,Intermittent,68.1,74.0,Surcharge,Préventive,Annuelle,8.0,2023-10-06,87.0,85.0,5,1.0,5.41,9,2,Électrique,245,Oui,0
1846,PUMP-V7,2008,Elevée,15,Normale,55.33,8.8,48043,Continu,87.4,60.4,Normale,Mixte,Hebdomadaire,22.0,2023-12-25,7.0,104.0,19,1.27,0.98,24,15,Électrique,153,Oui,0
1847,COMP-T2,2007,Elevée,16,Ancienne,56.12,11.3,65882,Continu,60.4,,Normale,Mixte,Annuelle,27.0,2023-12-26,6.0,36.0,12,0.75,3.93,13,12,Thermique,211,Non,0
1848,COMP-T2,2002,Moyenne,21,Ancienne,77.6,11.0,84472,Intermittent,98.1,75.7,Normale,Préventive,Hebdomadaire,24.0,2023-08-17,137.0,99.0,19,0.9,2.09,20,17,Hydraulique,218,Oui,0
1849,DRILL-Z6,2009,Elevée,14,,46.6,14.6,74590,Intermittent,83.0,71.3,Sous-charge,Corrective,Mensuelle,20.0,2023-11-30,33.0,84.0,14,1.0,0.5,17,9,Électrique,171,Oui,0
1850,COMP-T2,2006,Moyenne,17,,64.12,11.3,70337,Intermittent,79.8,89.3,Surcharge,Corrective,Trimestrielle,27.0,2023-09-10,113.0,67.0,12,0.71,13.33,15,9,Thermique,305,Oui,0
1851,DRILL-Z6,1997,Elevée,26,Ancienne,95.48,6.2,58904,Intermittent,85.9,74.9,Surcharge,Corrective,Mensuelle,44.0,2023-09-22,102.0,141.0,13,0.5,5.26,16,10,Thermique,193,Oui,1
1852,COMP-T2,2015,Elevée,8,Normale,34.27,,40713,Continu,78.3,72.1,Normale,Préventive,Annuelle,15.0,2023-12-08,24.0,44.0,6,0.75,500.0,7,6,Thermique,196,Non,0
1853,PUMP-V7,2017,Moyenne,6,Normale,,15.9,34443,Intermittent,81.0,88.6,Normale,Mixte,Trimestrielle,9.0,2023-11-27,36.0,83.0,4,0.67,2.85,6,1,Électrique,131,Oui,0
1854,COMP-T2,1999,Elevée,24,Ancienne,77.89,7.0,61410,Continu,99.4,73.2,Normale,Préventive,Mensuelle,36.0,2023-12-24,8.0,84.0,24,1.0,9.84,25,21,Thermique,126,Oui,0
1855,WELDR-E4,2000,,23,Ancienne,77.45,,146100,Continu,95.9,70.2,Normale,Préventive,Trimestrielle,32.0,2023-03-28,279.0,107.0,20,0.87,,24,17,Thermique,224,Oui,1
1856,ROBOT-M3,1996,Faible,27,Ancienne,93.09,16.2,159653,Intermittent,90.7,61.0,Surcharge,Préventive,Trimestrielle,35.0,2023-12-25,7.0,102.0,20,0.74,,23,20,Mécanique,155,Oui,1
1857,PRESS-X5,2002,Moyenne,21,Ancienne,81.84,10.1,77324,Intermittent,83.8,75.7,Normale,Préventive,Mensuelle,36.0,2023-08-29,125.0,32.0,11,0.52,11.79,12,8,Thermique,115,Non,0
1858,WELDR-E4,1999,Faible,24,Ancienne,94.98,8.6,75710,Continu,75.3,86.2,Normale,Préventive,Hebdomadaire,32.0,2023-09-09,115.0,147.0,14,0.58,7.95,16,12,Électrique,99,Oui,1
1859,COMP-T2,2016,Faible,7,Normale,26.22,15.2,38858,Intermittent,96.1,70.0,Normale,Préventive,Trimestrielle,13.0,2023-08-22,133.0,52.0,3,0.43,6.84,8,0,Électrique,206,Oui,0
1860,MOTOR-K1,2011,Elevée,12,Normale,42.05,7.9,34588,Continu,66.3,59.0,Normale,,Trimestrielle,18.0,2023-09-22,102.0,87.0,6,0.5,5.27,8,5,Mécanique,210,Oui,0
1861,CONV-3A,2020,Faible,3,Nouvelle,8.75,10.0,11253,Continu,106.8,87.1,Normale,Corrective,Annuelle,6.0,2023-11-05,57.0,61.0,3,1.0,5.05,5,3,Électrique,357,Oui,0
1862,ROBOT-M3,1996,Elevée,27,Ancienne,98.62,8.1,79282,Intermittent,90.7,87.6,Normale,Corrective,Hebdomadaire,42.0,2023-11-26,36.0,81.0,17,0.63,5.55,18,14,Thermique,182,Non,1
1863,PRESS-X5,2005,Elevée,18,Ancienne,-5.0,12.0,78843,Intermittent,97.7,82.0,Normale,Mixte,Mensuelle,23.0,2023-09-22,,139.0,11,0.61,2.72,14,10,Thermique,198,Oui,0
1864,CONV-3A,1998,Moyenne,25,Ancienne,96.43,16.4,149857,Intermittent,87.0,76.2,Normale,Mixte,Trimestrielle,35.0,2023-12-07,25.0,102.0,18,0.72,0.5,24,17,Aucune,76,Oui,1
1865,WELDR-E4,2005,Moyenne,18,Ancienne,68.69,13.1,86156,Intermittent,78.2,80.0,Normale,Préventive,Mensuelle,35.0,NA,-30.0,147.0,11,0.61,0.79,14,9,Mécanique,207,Non,0
1866,PUMP-V7,2003,Elevée,20,Ancienne,75.62,15.1,109813,Continu,94.2,56.4,Sous-charge,Mixte,Mensuelle,22.0,2023-10-14,80.0,116.0,17,0.85,1.92,21,12,Thermique,87,Oui,0
1867,PUMP-V7,2000,Elevée,23,Ancienne,84.66,10.9,91956,Continu,58.9,68.0,Normale,Corrective,Trimestrielle,33.0,2023-11-05,58.0,127.0,17,0.74,10.41,19,15,Aucune,239,Non,0
1868,CONV-3A,2018,Moyenne,5,Normale,,12.3,22400,Intermittent,71.2,83.1,Normale,Mixte,Annuelle,8.0,2023-09-13,111.0,97.0,8,1.6,2.0,10,5,Électrique,273,Oui,0
1869,MOTOR-K1,1996,Elevée,27,Ancienne,90.82,8.3,81938,Intermittent,77.1,79.1,Normale,Préventive,Annuelle,40.0,2023-11-28,34.0,104.0,29,1.07,5.73,31,26,Électrique,214,Oui,1
1870,CONV-3A,2020,Moyenne,3,Nouvelle,10.4,11.7,12683,Intermittent,59.3,85.8,Normale,Préventive,Annuelle,4.0,2023-08-09,145.0,101.0,3,1.0,3.48,5,2,Aucune,159,Oui,0
1871,WELDR-E4,2009,Moyenne,14,Normale,51.11,9.8,50157,Intermittent,89.6,93.4,Sous-charge,Corrective,Mensuelle,17.0,2023-07-13,172.0,103.0,12,0.86,0.5,15,11,Mécanique,190,Oui,0
1872,CONV-3A,1999,Elevée,24,Ancienne,76.73,11.5,100878,Intermittent,99.0,60.2,Surcharge,Préventive,Mensuelle,35.0,2023-10-29,,67.0,18,0.75,5.54,18,15,Électrique,268,Oui,0
1873,PRESS-X5,2022,Elevée,1,Nouvelle,2.74,11.3,4017,Intermittent,54.4,80.8,Surcharge,Corrective,Trimestrielle,0.0,2023-10-07,87.0,85.0,0,0.0,3.79,1,0,Électrique,176,Non,0
1874,MOTOR-K1,2006,Moyenne,17,Ancienne,,11.1,68547,Continu,73.8,71.9,Normale,Préventive,Trimestrielle,24.0,2023-12-22,10.0,60.0,14,0.82,18.57,17,11,Mécanique,274,Non,0
1875,LATHE-9,2007,Moyenne,16,Ancienne,61.07,18.3,107075,Continu,77.5,69.6,Surcharge,Corrective,Trimestrielle,21.0,2023-07-18,168.0,81.0,11,0.69,0.73,15,10,Électrique,191,Oui,0
1876,CNC-2000,2011,Elevée,12,Normale,39.25,17.3,76078,Intermittent,84.8,100.0,Surcharge,Corrective,Mensuelle,20.0,2023-12-07,26.0,111.0,6,0.5,2.47,8,4,Mécanique,156,Non,0
1877,LATHE-9,1998,Elevée,25,Ancienne,89.14,16.2,148233,Intermittent,92.8,56.2,Normale,,Mensuelle,39.0,2023-12-30,2.0,84.0,14,0.56,0.86,16,12,Thermique,274,Non,0
1878,DRILL-Z6,2004,Elevée,19,Ancienne,63.0,17.4,120394,Continu,75.8,72.8,Sous-charge,Corrective,Trimestrielle,25.0,2023-12-26,6.0,62.0,8,0.42,6.09,11,7,Électrique,242,Oui,0
1879,CONV-3A,1995,Elevée,28,Ancienne,100.0,16.3,166540,Continu,94.1,72.2,Surcharge,Préventive,Mensuelle,39.0,2023-05-06,241.0,130.0,13,0.46,,15,9,Hydraulique,191,Non,1
1880,PUMP-V7,2005,Moyenne,18,Ancienne,54.5,11.9,78426,Continu,81.3,75.6,Normale,Mixte,Trimestrielle,30.0,2023-11-25,38.0,119.0,12,0.67,1.62,15,11,Thermique,177,Non,0
1881,LATHE-9,2010,Moyenne,13,,47.88,11.6,55141,Continu,71.0,51.3,Surcharge,Mixte,Annuelle,21.0,2023-11-29,33.0,92.0,14,1.08,0.5,19,10,Thermique,194,Oui,0
1882,COMP-T2,2005,Moyenne,18,Ancienne,,12.7,83494,Intermittent,83.5,63.2,Normale,Corrective,Mensuelle,21.0,2023-09-25,98.0,111.0,16,0.89,0.96,16,15,Électrique,198,Oui,0
1883,WELDR-E4,2003,Faible,20,Ancienne,67.45,11.4,82737,Continu,61.1,75.6,Normale,Préventive,Trimestrielle,24.0,2023-10-13,80.0,93.0,12,0.6,2.04,15,10,Hydraulique,204,,0
1884,LATHE-9,1996,Elevée,27,Ancienne,95.53,8.9,87502,Continu,,58.3,Surcharge,Mixte,Mensuelle,37.0,2023-09-19,105.0,91.0,20,0.74,0.5,25,19,Mécanique,195,Oui,1
1885,ROBOT-M3,2001,Elevée,22,Ancienne,78.28,,103657,Continu,77.4,86.4,Sous-charge,Corrective,Trimestrielle,37.0,2023-11-12,50.0,83.0,24,1.09,0.5,27,15,Mécanique,234,Oui,0
1886,MOTOR-K1,2013,Moyenne,10,Normale,36.15,7.3,26895,Continu,70.9,,Surcharge,Préventive,Trimestrielle,16.0,2023-08-15,,59.0,8,0.8,2.14,11,6,Mécanique,152,Oui,0
1887,WELDR-E4,2012,Moyenne,11,Normale,39.26,12.4,49766,Intermittent,118.0,56.0,Surcharge,Corrective,Mensuelle,,2023-06-26,190.0,,6,0.55,8.86,6,5,Électrique,93,Oui,0
1888,PUMP-V7,2014,Moyenne,9,Normale,28.29,9.0,29654,Continu,99.5,72.2,Normale,Corrective,Trimestrielle,12.0,2023-12-18,14.0,84.0,6,0.67,0.5,11,5,,170,Non,0
1889,DRILL-Z6,2001,Moyenne,22,Ancienne,76.18,11.8,94655,Intermittent,83.0,79.5,Normale,Corrective,Mensuelle,28.0,2023-12-21,11.0,110.0,15,0.68,1.8,16,11,Thermique,77,Oui,0
1890,LATHE-9,2017,Moyenne,6,Normale,21.16,12.6,27544,Continu,86.4,58.5,Normale,Corrective,Mensuelle,10.0,2023-03-26,281.0,98.0,7,1.17,11.69,11,2,Thermique,195,Non,0
1891,MOTOR-K1,2003,Elevée,20,Ancienne,70.98,,80016,Continu,87.8,56.1,Sous-charge,Préventive,Mensuelle,28.0,2023-12-23,10.0,91.0,14,0.7,3.11,21,14,Aucune,206,Oui,0
1892,CNC-2000,2006,Moyenne,17,Ancienne,59.17,7.1,44007,Continu,89.4,63.5,Normale,Préventive,Hebdomadaire,21.0,2023-11-04,59.0,20.0,10,0.59,8.68,13,7,Mécanique,233,Non,0
1893,MOTOR-K1,1997,Moyenne,26,Ancienne,94.65,8.4,79924,Intermittent,103.4,100.0,Normale,Mixte,Hebdomadaire,28.0,2023-11-04,58.0,90.0,20,0.77,15.11,20,19,Aucune,166,Oui,1
1894,MOTOR-K1,2017,Faible,6,Normale,21.47,13.4,29107,Continu,93.9,88.1,Surcharge,Mixte,Mensuelle,11.0,2023-05-28,218.0,155.0,3,0.5,4.04,8,0,Thermique,162,Non,0
1895,WELDR-E4,2016,Moyenne,7,,25.51,,26599,Continu,50.2,67.7,Surcharge,Corrective,Trimestrielle,11.0,2023-11-21,42.0,106.0,9,1.29,1.27,11,4,Électrique,211,Oui,0
1896,CNC-2000,2020,Moyenne,3,Nouvelle,8.59,13.7,14447,Continu,92.5,59.0,Normale,Corrective,Trimestrielle,5.0,2023-11-06,57.0,137.0,3,1.0,19.35,3,2,Électrique,139,Oui,0
1897,MOTOR-K1,2010,Moyenne,13,,40.24,12.0,56944,Intermittent,67.4,65.1,Normale,Préventive,Mensuelle,16.0,2023-08-11,144.0,69.0,8,0.62,2.53,10,6,Mécanique,165,Oui,0
1898,ROBOT-M3,2001,Faible,22,Ancienne,77.77,11.4,91315,Continu,71.7,93.3,Normale,Préventive,Mensuelle,30.0,2023-11-24,38.0,93.0,16,0.73,1.76,18,16,Mécanique,196,,0
1899,LATHE-9,2017,Faible,6,Normale,27.04,13.0,28776,Continu,94.7,99.4,Surcharge,Préventive,Trimestrielle,10.0,2023-12-27,6.0,103.0,5,0.83,1.01,7,4,Thermique,207,Oui,0
1900,LATHE-9,2020,Moyenne,3,Nouvelle,12.72,10.0,11196,Continu,52.1,65.3,Sous-charge,Mixte,Annuelle,2.0,2023-12-29,3.0,126.0,3,1.0,1.73,7,0,Électrique,241,Oui,0
1901,ROBOT-M3,1999,Moyenne,24,Ancienne,79.91,13.2,115498,Intermittent,105.7,78.7,Surcharge,Corrective,Mensuelle,43.0,2023-09-05,118.0,80.0,18,0.75,4.46,24,16,Thermique,301,Oui,0
1902,LATHE-9,2019,,4,Normale,18.07,10.7,16236,Intermittent,92.3,71.9,Surcharge,Préventive,Annuelle,8.0,2023-08-10,144.0,164.0,4,1.0,1.17,10,4,Mécanique,213,Oui,0
1903,MOTOR-K1,2017,Moyenne,6,Normale,19.32,19.6,43219,Continu,85.0,90.2,Normale,Corrective,Mensuelle,7.0,2023-12-31,1.0,148.0,5,0.83,2.14,10,4,Électrique,133,Oui,0
1904,DRILL-Z6,2001,Moyenne,22,Ancienne,80.57,8.6,69083,Intermittent,92.5,61.9,Normale,Mixte,Mensuelle,28.0,2023-07-09,176.0,44.0,21,0.95,1.09,26,19,Électrique,158,Non,0
1905,MOTOR-K1,2022,Moyenne,1,Nouvelle,1.66,10.9,4289,Continu,97.2,86.7,Surcharge,Corrective,Trimestrielle,4.0,2023-11-01,61.0,85.0,1,1.0,2.14,4,0,Thermique,151,,0
1906,WELDR-E4,2013,Elevée,10,Normale,,11.0,40202,Continu,83.3,58.9,Normale,Préventive,Mensuelle,12.0,2023-12-30,3.0,77.0,9,0.9,0.84,11,6,Mécanique,148,Oui,0
1907,COMP-T2,2011,Moyenne,12,Normale,39.41,7.9,34741,Intermittent,91.6,86.4,Normale,Préventive,Mensuelle,14.0,2023-10-20,73.0,53.0,12,1.0,8.36,12,7,Hydraulique,256,Non,0
1908,DRILL-Z6,2010,Elevée,13,Normale,43.03,14.2,67365,Continu,65.3,64.8,Surcharge,Préventive,Annuelle,14.0,2023-12-22,10.0,95.0,8,0.62,5.29,12,6,Mécanique,186,Oui,0
1909,PUMP-V7,2015,Moyenne,8,Normale,,10.7,31146,Continu,92.2,71.2,Surcharge,Corrective,Mensuelle,14.0,2023-11-27,36.0,102.0,10,1.25,2.28,13,7,Aucune,175,Oui,0
1910,PUMP-V7,2018,Elevée,5,Normale,20.06,4.9,8614,Intermittent,89.1,67.3,Normale,Mixte,Mensuelle,10.0,2023-12-16,17.0,136.0,6,1.2,17.87,10,0,Mécanique,312,Oui,0
1911,DRILL-Z6,2015,Moyenne,8,Normale,29.85,14.1,40942,Continu,101.6,98.5,Sous-charge,,Mensuelle,11.0,2023-10-24,69.0,101.0,4,0.5,4.37,6,4,Thermique,150,Non,0
1912,MOTOR-K1,2020,Elevée,3,Nouvelle,12.63,10.1,11011,Continu,82.6,86.9,Normale,Corrective,Mensuelle,6.0,2023-10-20,74.0,85.0,3,1.0,4.34,7,1,Mécanique,220,Oui,0
1913,CONV-3A,2013,Elevée,10,Normale,36.38,11.7,42745,Intermittent,84.6,70.1,Normale,Préventive,Trimestrielle,16.0,2023-06-03,213.0,111.0,6,0.6,3.84,8,2,Électrique,106,Non,0
1914,COMP-T2,2019,,4,Normale,,14.0,20417,Continu,,65.1,Surcharge,Mixte,Trimestrielle,10.0,2023-12-19,13.0,139.0,3,0.75,2.85,5,1,Mécanique,203,,0
1915,ROBOT-M3,2012,Elevée,11,Normale,43.33,,43459,Continu,,90.8,Normale,Corrective,Hebdomadaire,12.0,2023-10-31,62.0,28.0,10,0.91,0.96,11,9,Thermique,141,Non,0
1916,MOTOR-K1,2013,Moyenne,10,Normale,39.96,10.9,39811,Continu,89.2,34.2,Normale,Préventive,Trimestrielle,13.0,2023-10-15,78.0,134.0,10,1.0,2.32,12,7,Aucune,216,Non,0
1917,DRILL-Z6,2022,Faible,1,Nouvelle,0.0,19.4,7334,Continu,90.6,80.8,Surcharge,Préventive,Mensuelle,0.0,2023-11-19,44.0,125.0,1,1.0,6.78,3,0,Hydraulique,150,Oui,0
1918,CONV-3A,1998,Faible,25,Ancienne,,5.5,50409,Continu,105.7,63.5,Normale,Corrective,Trimestrielle,38.0,2023-12-23,9.0,133.0,22,0.88,1.15,25,22,Mécanique,84,Non,1
